Name,Midterm 1,Midterm 2,Total Pass/Fail
Student 1,5,3,P
Student 2,5,5,P
Student 3,1,4,P
Student 4,5,5,P
Student 5,5,5,P
Student 6,5,5,P
Student 7,4,4,P
Student 8,4,3,P
Student 9,4,3,P
Student 10,5,5,P
Student 11,5,5,P
Student 12,0,0,F
Student 13,3,3,P
Student 14,4,3,P
Student 15,5,4,P
Student 16,5,5,P
Student 17,0,0,F
Student 18,4,5,P
Student 19,3,4,P
Student 20,4,0,P
Student 21,1,1,F
Student 22,0,0,F
Student 23,3,4,P
Student 24,0,3,P
Student 25,0,3,F
Student 26,2,2,F
Student 27,1,1,F
Student 28,0,1,F
Student 29,3,3,P
Student 30,1,3,P
Student 31,0,0,F
Student 32,4,5,P
Student 33,3,2,P
Student 34,5,4,P
Student 35,2,2,P
Student 36,4,4,P
Student 37,4,3,P
Student 38,0,0,F
Student 39,0,0,F
Student 40,0,0,F
Student 41,4,2,P
Student 42,2,0,F
Student 43,0,0,F
Student 44,3,3,P
Student 45,2,1,F
Student 46,4,3,P
Student 47,4,1,P
Student 48,4,3,P
Student 49,0,0,F
Student 50,4,3,P
Student 51,0,0,F
Student 52,4,3,P
Student 53,2,0,F
Student 54,5,4,P
Student 55,4,4,P
Student 56,5,5,P
Student 57,1,1,F
